RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User10,116,750,443,688.2495,293.6609,0,0
2,User10,141,750,443,653.0637,250.0854,0,0
3,User10,154,750,443,653.0637,250.0854,0,0
4,User10,167,750,443,653.0637,250.0854,0,0
5,User10,180,750,443,653.0637,250.0854,0,0
6,User10,193,750,443,689.9674,325.0016,0,0
7,User10,219,750,443,696.9685,339.6957,0,0
8,User10,232,750,443,695.1567,345.7067,0,0
9,User10,245,750,443,695.1567,345.7067,0,0
10,User10,258,750,443,682.556,345.4751,0,0
11,User10,271,750,443,714.0681,400.5898,0,0
12,User10,297,750,443,759.839,491.2238,0,0
13,User10,310,750,443,698.564,418.035,0,0
14,User10,323,750,443,698.564,418.035,0,0
15,User10,336,750,443,681.3445,388.6481,0,0
16,User10,349,750,443,690.2931,412.0119,0,0
17,User10,375,750,485,697.5125,418.4271,0,0
18,User10,388,750,485,699.0236,341.0139,0,0
19,User10,401,750,485,712.105,367.8521,0,0
20,User10,414,750,485,712.105,367.8521,0,0
21,User10,440,750,485,705.0586,366.088,0,0
22,User10,452,750,485,696.5465,359.7022,0,0
23,User10,465,750,485,667.4503,315.7084,0,0
24,User10,478,750,485,667.4503,315.7084,0,0
25,User10,491,750,485,686.2762,320.2983,0,0
26,User10,518,713,636,705.1814,329.8282,0,0
27,User10,531,662,789,705.6277,357.122,0,0
28,User10,544,607,943,705.6277,357.122,0,0
29,User10,557,584,995,710.4153,405.6565,0,0
30,User10,569,530,1119,697.2889,399.9175,0,0
31,User10,596,505,1332,715.9102,416.2096,0,0
32,User10,610,505,1336,734.4095,413.6819,0,0
33,User10,623,505,1337,700.6899,377.8425,0,0
34,User10,636,505,1337,675.5477,330.8245,0,0
35,User10,649,505,1337,675.5477,330.8245,0,0
36,User10,662,505,1337,675.5477,330.8245,0,0
37,User10,688,505,1337,733.0314,424.1439,0,0
38,User10,701,505,1337,716.3798,433.4977,0,0
39,User10,714,505,1337,716.3798,433.4977,0,0
40,User10,727,505,1337,717.2682,380.0544,0,0
41,User10,740,505,1337,704.6627,353.0205,0,0
42,User10,765,505,1337,558.681,589.7971,0,0
43,User10,779,505,1337,558.681,589.7971,0,0
44,User10,793,505,1337,495.99,910.6084,0,0
45,User10,807,505,1337,495.99,910.6084,0,0
46,User10,820,505,1337,473.8509,1477.165,0,0
47,User10,847,505,1337,423.8985,1432.344,0,0
48,User10,863,514,1395,385.4485,1401.131,0,0
49,User10,877,550,1561,363.397,1497.79,0,0
50,User10,890,616,1809,440.3646,1443.731,0,0
51,User10,903,654,1823,440.3646,1443.731,0,0
52,User10,916,665,1823,440.3646,1443.731,0,0
53,User10,931,667,1823,441.037,1479.056,0,0
54,User10,945,667,1823,441.037,1479.056,0,0
55,User10,959,667,1823,422.2188,1471.92,0,0
56,User10,986,667,1823,426.1303,1368.284,0,0
57,User10,999,667,1823,426.1303,1368.284,0,0
58,User10,1013,667,1823,426.1303,1368.284,0,0
59,User10,1034,667,1823,435.2562,1420.044,0,0
60,User10,1051,667,1823,456.8021,1382.262,0,0
61,User10,1065,667,1823,432.1412,1405.618,0,0
62,User10,1081,667,1823,441.7898,1444.133,0,0
63,User10,1094,667,1823,435.4944,1433.992,0,0
64,User10,1107,667,1823,495.6466,1517.078,0,0
65,User10,1120,667,1823,552.2675,1602.979,0,0
66,User10,1133,661,1823,513.2855,1655.629,0,0
67,User10,1147,654,1823,469.5224,1556.139,0,0
68,User10,1174,637,1823,430.7071,1518.013,0,0
69,User10,1189,634,1823,391.9471,1479.942,0,0
70,User10,1203,629,1823,391.9471,1479.942,0,0
71,User10,1216,622,1823,425.8474,1565.542,0,0
72,User10,1230,622,1823,425.8474,1565.542,0,0
73,User10,1243,618,1823,425.8474,1565.542,0,0
74,User10,1256,618,1823,486.0056,1624.328,0,0
75,User10,1282,617,1823,516.5734,1619.278,0,0
76,User10,1296,615,1823,497.8102,1623.003,0,0
77,User10,1309,615,1823,497.8102,1623.003,0,0
78,User10,1321,615,1823,490.9758,1613.271,0,0
79,User10,1335,615,1823,485.5137,1613.801,0,0
80,User10,1360,615,1823,489.087,1602.775,0,0
81,User10,1373,615,1823,481.7491,1590.179,0,0
82,User10,1387,615,1823,487.3395,1612.013,0,0
83,User10,1400,612,1823,523.0644,1619.246,0,0
84,User10,1417,609,1823,523.0644,1619.246,0,0
85,User10,1430,603,1823,523.9785,1612.142,0,0
86,User10,1443,594,1823,512.8448,1621.332,0,0
87,User10,1469,572,1823,521.6666,1623.838,0,0
88,User10,1482,568,1823,536.3926,1618.689,0,0
89,User10,1497,557,1823,536.3926,1618.689,0,0
90,User10,1510,545,1823,542.4571,1609.482,0,0
91,User10,1524,539,1821,550.905,1614.189,0,0
92,User10,1537,508,1801,545.332,1617.566,0,0
93,User10,1563,482,1772,509.9301,1630.791,0,0
94,User10,1576,471,1751,509.9301,1630.791,0,0
95,User10,1588,468,1744,527.5103,1631.257,0,0
96,User10,1601,467,1743,533.7312,1634.585,0,0
97,User10,1615,467,1743,533.7312,1634.585,0,0
98,User10,1640,467,1744,498.1028,1676.467,0,0
99,User10,1653,467,1744,522.7059,1636.378,0,0
100,User10,1667,467,1744,522.4003,1643.003,0,0
101,User10,1684,467,1744,522.4003,1643.003,0,0
102,User10,1697,467,1744,544.4394,1635.943,0,0
103,User10,1711,467,1744,544.4394,1635.943,0,0
104,User10,1736,467,1746,525.8707,1612.981,0,0
105,User10,1749,470,1752,525.8707,1612.981,0,0
106,User10,1764,471,1753,530.6926,1621.337,0,0
107,User10,1777,471,1755,530.8629,1643.06,0,0
108,User10,1791,480,1761,532.8224,1641.541,0,0
109,User10,1803,483,1762,532.8224,1641.541,0,0
110,User10,1829,491,1767,535.4649,1618.046,0,0
111,User10,1842,493,1767,535.4649,1618.046,0,0
112,User10,1855,505,1773,545.1942,1636.048,0,0
113,User10,1868,529,1789,552.287,1634.911,0,0
114,User10,1883,542,1803,552.287,1634.911,0,0
115,User10,1909,552,1812,529.7713,1663.456,0,0
116,User10,1921,552,1814,530.7279,1644.38,0,0
117,User10,1934,552,1814,503.3732,1665.219,0,0
118,User10,1947,552,1814,503.3732,1665.219,0,0
119,User10,1960,552,1814,459.8919,1706.115,0,0
120,User10,1987,552,1814,508.0637,1615.641,0,0
121,User10,1999,552,1814,583.3676,1657.96,0,0
122,User10,2012,552,1813,583.3676,1657.96,0,0
123,User10,2025,552,1811,517.2914,1622.26,0,0
124,User10,2038,552,1811,507.1425,1617.422,0,0
